"age.grp","cih","cil","n","rt"
"1",0.242240119306418,0.217122315217391,32,1.11956956521739
"2",0.164716370548219,0.126326947898799,59,0.954
"3",0.0613183961640211,0.0603076747557998,67,0.688685714285714
"4",0.0762429952830189,0.0734850943396226,60,0.697481132075472
