"","age.grp","n","acc_na.mean","rt_na.mean","acc_ci.high","rt_ci.high","acc_ci.low","rt_ci.low"
"1","1",25,0.65,1.67739898989899,0.123333333333333,0.269841507177033,0.136666666666667,0.241134396501244
"2","1.5",18,0.833333333333333,1.23031045751634,0.111111111111111,0.393393969566993,0.134259259259259,0.350190291394335
"3","2",38,0.916666666666667,1.03943713450292,0.0504385964912281,0.214751461988304,0.0548245614035088,0.186482090643275
"4","2.5",26,0.923076923076923,1.09855769230769,0.048076923076923,0.212256944444444,0.0673076923076924,0.189594017094017
"5","3",14,0.869047619047619,1.19315476190476,0.0773809523809523,0.218249007936508,0.0834821428571429,0.20937003968254
"6","3.5",22,0.920454545454545,1.10138888888889,0.0568181818181819,0.211895517676768,0.0568181818181818,0.203396464646465
