`,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A29,82,454,455,452,454.5,359.5,nope thats mommys mommys,brush box car truck,,child,,,mom,
A29,83,456,457,455,456.5,361.5,thats mommys dont touch,brush box car truck,,child,,,mom,
A29,84,457,458,457,457,362,dont touch,brush box car truck,,child,,,mom,
A29,85,465,466,458,465.5,370.5,mommys,brush box car truck,,child,,,mom,
A29,86,474,477,466,475.5,380.5,whos that huh,brush box car truck,,child,,,mom,brush
A29,87,480,480,477,480,385,this way,brush box car truck,,child,child,,,brush
A29,88,481,482,479,481.5,386.5,oh look,brush box car truck dog pig,,pig,pig,,dog pig,brush
A29,89,487,486,482,486.5,391.5,look at that pig,brush box car truck dog pig,pig,pig,pig,,dog pig,brush
A29,90,489,487,487,487,392,whats that,dog pig brush box car truck,pig,dog,dog,,dog,brush
A29,91,491,491,491,491,396,whats that,dog pig brush box,pig,child,dog,,dog,brush
A29,92,495,498,499,498.5,403.5,whats that,dog pig brush,pig,child,dog,,dog,brush
A29,93,501,500,500,500,405,no thats not a doggy thats a pig,dog pig brush,dog pig,child,dog,,pig,pig
A29,94,503,503,501,503,408,oink oink oink oink,dog pig brush,,child,dog,,pig,pig
A29,95,505,507,504,504.5,409.5,oink oink,dog pig brush,,child,dog,,pig,pig
A29,96,507,508,506,507.5,412.5,thats a pig,dog pig brush,pig,child,pig,,pig
A29,97,509,510,507,509.5,414.5,pig,dog pig brush,pig,child,pig,,pig
A29,98,514,517,508,515.5,420.5,oink oink,dog pig brush,,child,pig,,pig
A29,99,519,,517,518,423,and whats that,dog pig brush,dog,child,dog,,dog
A29,100,521,524,520,520.5,425.5,milky,dog pig brush,,,,,
A29,101,534,533,523,533.5,438.5,milky,dog pig brush,,,,,
A29,102,536,535,532,535.5,440.5,dont you like the pig hum,dog pig brush,pig,pig,pig,,pig
A29,103,537,536,535,536.5,441.5,look at his tail,dog pig brush,pig,child,pig,,
A29,104,539,547,536,537.5,442.5,look,dog pig brush,,child,pig,,pig
A29,105,547,548,547,547,452,oink oink oink,dog pig brush,,child,pig,,pig
A29,106,550,551,548,550.5,455.5,oink oink,dog pig brush,,child,pig,,pig
A29,107,552,553,551,552.5,457.5,oh its a puppet,dog pig brush,pig,pig,pig,,pig
A29,108,555,556,552,555.5,460.5,look look,dog pig brush,,pig,pig,,pig
A29,109,557,558,556,557.5,462.5,hi alex,dog pig brush,,child,pig,,pig
A29,110,562,560,558,561,466,hi,dog pig brush,,child,pig,,pig
A29,111,563,563,560,563,468,can I have a kiss,dog pig brush,,child,pig,,pig
A29,112,568,568,563,568,473,no,dog pig brush,,child,pig,,pig,pig
A29,113,573,574,568,573.5,478.5,give me a kiss,dog pig brush,,child,pig,,,
A29,114,579,579,574,579,484,hi,dog pig brush,,child,pig,,dog,
A29,115,580,581,579,580.5,485.5,thats a doggy,dog pig brush,dog,child,pig,,dog,
A29,116,581,582,581,581,486,thats a doggy,dog pig brush,dog,child,dog,,dog,
A29,117,583,584,582,583.5,488.5,this is a doggy,dog pig brush,dog,child,dog,,dog,
A29,118,587,587,584,587,492,its a baby doggy,dog pig brush,dog,child,dog,,dog,
A29,119,590,589,587,589.5,494.5,and thats a pig,dog pig brush,pig,child,,,pig,pig
A29,120,593,592,589,592.5,497.5,pig,dog pig brush,pig,child,,,pig,pig
A29,121,597,598,591,597.5,502.5,piggy uhhuh,dog pig brush,pig,child,,,pig,pig
A29,122,602,623,597,599.5,504.5,hi,dog pig brush,,child,,,mom,pig
A29,123,607,625,624,624.5,529.5,oh pretty,dog pig brush,,child,pig,,dog,dog brush
A29,124,624,626,625,625.5,530.5,ha,dog pig brush,,child,pig,,dog,dog brush
A29,125,627,632,627,627,532,pretty,dog pig brush,,child,pig,,pig,dog brush
A29,126,631,634,631,631,536,thank you,dog pig brush,,child,pig,,pig,pig brush
A29,127,640,639,634,639.5,544.5,thank you,dog pig brush,,child,pig,,pig,pig brush
A29,128,672,671,639,671.5,576.5,okay you can have him,dog pig brush,pig,child,,,pig,pig brush
A29,129,689,689,671,689,594,thank you,dog pig brush,,dog,dog,,mom,dog pig brush
A29,130,690,690,689,690,595,airplane,dog pig brush,,,,,,
A29,131,691,691,690,691,596,see,dog pig brush,,,,,,
A29,132,692,691,691,691,597,look,dog pig brush,,,,,,
A29,133,694,692,691,691.5,597.2,see,dog pig brush,,,,,,
A29,134,695,693,692,692.5,597.5,look look look,dog pig brush,,,,,,
A29,135,699,694,693,693.5,598.5,look,dog pig brush,,,,,,
A29,136,702,698,694,700,605,airplane,dog pig brush,,,,,,
A29,137,703,701,696,702,607,alex airplane,dog pig brush,,,,,,
A29,138,704,702,699,703,608,oh you cant see the suns in your eyes,dog pig brush,,child,child,,,
A29,139,705,705,700,705,610,too bright,dog pig brush,,child,,,,
A29,140,717,716,703,716.5,621.5,airplane,dog pig brush,,child,,,,
A29,141,720,719,715,719.5,624.5,is birdy uhhuh,dog pig brush,,child,,,,
A29,142,723,726,719,724.5,629.5,birdys singing,dog pig brush,,child,,,,
A29,143,727,728,726,727.5,632.5,pig,dog pig brush,pig,child,,,mom,brush
A29,144,738,739,728,738.5,643.5,pig,dog pig brush,pig,child,,,pig,brush pig
A29,145,744,741,738,742.5,647.5,look at the doggy,dog pig brush,dog,dog,dog,,dog,brush
A29,146,757,743,741,742,648,want to brush the doggys hair,dog pig brush,dog,child,dog,,dog,brush
A29,147,759,748,743,745.5,650.5,want to brush the doggys hair,dog pig brush,dog,child,,,dog,brush
A29,148,765,750,748,749,651,uhuh,dog pig brush,,child,,,dog,brush
A29,149,766,757,750,753.5,658.5,okay,dog pig brush,,child,,,dog,brush
A29,150,769,758,757,757.5,662.5,brush,dog pig brush,brush,child,,,,brush
A29,151,771,758,758,758,663,thats right brush,dog pig brush,brush,child,,,,brush
A29,152,773,765,759,762,667,Brush,dog pig brush,brush,child,,,,brush
A29,153,794,767,766,766.5,671.5,whos that huh,dog pig brush,,child,,,,brush
A29,154,804,779,767,773,678,whos that,dog pig brush,,child,,,,brush
