video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A18,1,506,506,503,506,0,do you know,box brush,,child,,,,brush
A18,2,507,508,505,507.5,1.5,ohh theres nothing inside,box brush,,box,box,,,brush
A18,3,511,511,507,511,5,look its all gone,box,,child,box,,box,box
A18,4,512,512,509,512,6,theres nothing in the box,box,box,child,,,box,box
A18,5,520,516,512,518,12,uh oh,box,,child,,,box,box
A18,6,526,526,515,526,20,yeah,box,,child,,,box,box
A18,7,529,529,526,529,23,oh thank you,box,,child,box,,box,box
A18,8,531,530,528,530.5,24.5,want me to put them in your jeans,box,box,child,child box,,,
A18,9,533,532,530,532.5,26.5,want me put them inside,box,box,child,child box,,box,
A18,10,536,534,531,535,29,want me put them inside,box,box,child,child box,,box,
A18,11,537,536,533,536.5,30.5,hes gonna get you,box,box,child,child box,,box,
A18,12,538,538,535,538,32,hes got you hes in your jeans,box,box,child,child box,,box,
A18,13,540,539,538,539.5,33.5,now what are you going to do,box,,child,,,,
A18,14,542,544,540,543,37,huh,box,,child,,,,
A18,15,544,545,543,544.5,38.5,youd rather have your box,box,box,child,,,,
A18,16,551,550,545,550.5,44.5,can you get them out,box brush,box,child,,,box,
A18,17,554,553,549,553.5,47.5,its your brush,box brush,brush,child,,,,brush
A18,18,557,556,553,556.5,50.5,yeah,brush,,child,,,,brush
A18,19,559,558,556,558.5,52.5,uh oh thats dangerous,,,,,,,
A18,20,573,570,558,571.5,65.5,oh that could hurt the baby,,,,,,,
A18,21,577,576,573,576.5,70.5,look,brush,,brush,brush,,brush,
A18,22,580,579,576,579.5,73.5,want me scratch your tummy,brush,,child,brush,,brush,brush
A18,23,581,581,579,581,75,thats your hair,brush,,child,,,,brush
A18,24,583,583,581,583,77,wheres your nose,brush,,child,,,,brush
A18,25,586,585,583,585.5,79.5,wheres your nose,brush,,child,,,,brush
A18,26,588,587,585,587.5,81.5,wheres your nose,brush,,child,,,,brush
A18,27,590,588,588,588,82,where is it,brush,,child,,,mom,brush
A18,28,592,592,589,592,86,its right there,,,child,child,,,
A18,29,593,593,591,593,87,wheres your tummy,brush,,child,brush,,brush,
A18,30,595,595,593,595,89,there it is,brush,,child,brush,,brush,brush
A18,31,603,602,596,602.5,96.5,thats your hair,brush,,child,,,,brush
A18,32,607,605,602,606,100,yeah we got to put that away ok,,,,,,
A18,33,609,607,605,608,102,lets put him over here,,,,,,
A18,34,611,613,608,612,106,well put him away,,,,,,
A18,35,612,616,611,611.5,106.5,hes gone gone thats right,,,child,,,
A18,36,620,617,615,616,110,hes gone gone,,,,,,
A18,37,622,621,618,621.5,115.5,ohhh wheres ernie,,ernie,ernie,ernie,,
A18,38,624,624,622,624,118,wheres ernie,ernie,ernie,child,ernie,,ernie
A18,39,626,625,623,625.5,119.5,do you know how to do him,ernie,ernie,ernie,ernie,,ernie
A18,40,630,628,626,629,123,theres ernie,ernie,ernie,ernie,,ernie,ernie
A18,41,634,630,629,629.5,123.5,uh huh,ernie,,ernie,,ernie,ernie
A18,42,636,633,630,634.5,128.5,whos in here,oscar,,ernie,,ernie,ernie
A18,43,639,637,633,638,132,ohhh theres oscar,oscar,oscar,oscar,,oscar,oscar
A18,44,640,641,637,640.5,134.5,wheres papa in the book,oscar,book,book,,,book
A18,45,643,648,640,641.5,135.5,its a big big boo,,book,child,,,
A18,46,650,650,646,650,144,here we could look at the pictures,,book,book,book,,
A18,47,653,651,648,652,146,ohhh look theres mommy,book,book,book,book,book,book
A18,48,655,654,651,654.5,148.5,theres papa,book,book,book,book,book,,
A18,49,659,658,654,658.5,152.5,theres the baby,book,book,book,book,book,,
A18,50,661,660,657,660.5,154.5,yeah,book,,child,book,,,
A18,51,663,661,660,660.5,155,uh huh thats dangerous,book,,,book,,,
A18,52,665,662,661,661.5,155.5,lets put that away,book,,,book,,,
A18,53,667,664,663,663.5,157.5,that can hurt baby,book,,,book,,,
A18,54,668,665,664,664.5,158.5,yeah gone gone,book,,,book,,,
A18,55,670,667,667,667,161,look,book,,book,book,,,
A18,56,670,668,667,667.5,161.5,wheres joey,book,book,book,book,,book,
A18,57,672,671,668,671.5,165.5,wheres joey,book,book,book,book,,book,
A18,58,675,672,670,671,166,there he is,book,book,book,book,book,book,
A18,59,677,675,673,676,170,there theres joey,book,book,book,,,book,book
A18,60,679,679,676,679,173,uh huh,book,,,,,,book
A18,61,684,683,679,683.5,177.5,gone gone ok,book,,,,,,book
A18,62,698,689,683,686,180,can i show him some of those toys,,,,,,,
A18,63,704,702,699,703,197,mhmmm,,,,,,,
A18,64,712,710,702,711,205,thats a camera,,,,,,,
A18,65,720,717,710,718.5,212.5,what ya think,,,child,,,,
A18,66,725,720,716,718,213,wanna come over and play with p  these now,,ernie oscar,ernie oscar,ernie oscar,,,
A18,67,726,722,719,720.5,214.5,wanna do this one,ernie oscar,ernie oscar,child,ernie oscar,,,
A18,68,730,723,721,722,216,how does he go oh i dont know,ernie oscar,ernie oscar,child,ernie oscar,,,
A18,69,740,734,724,737,231,what does he do,,ernie oscar,child,ernie oscar,,,
A18,70,742,741,733,741.5,235.5,looks like he knows hes on camera now,,,,,,,
A18,71,745,746,740,745.5,239.5,k,,,,,,,
A18,72,747,748,744,747.5,241.5,you want the car,car ernie oscar,car,car,car,,car,
A18,73,750,749,747,749.5,243.5,mhmmm,car ernie oscar,,car,car,,car,car
A18,74,754,753,748,753.5,247.5,does he go fast,car ernie oscar,car,car,,,car truck,car truck
A18,75,756,754,752,755,249,yeah,car ernie oscar,,car,,,car,car truck
A18,76,758,757,754,757.5,251.5,make him go fast,car ernie oscar,car,car,,,car,car
A18,77,761,757,756,756.5,252,oh wheres his doors,car ernie oscar,car,car,,,car,car
A18,78,764,762,761,761.5,255.5,where,car,,car,,,car,car
A18,79,766,765,762,765.5,259.5,let me see,car,,car,,,car,car
