video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A3,1,49,46,47,46.5,0,whats that,dog pig,pig,child,pig,,,pig
A3,2,54,48,49,48.5,2,whats that,dog pig,pig,child,,,,pig
A3,3,56,53,54,53.5,7,spencer,pig,,child,dog,,,pig
A3,4,57,54,56,56.5,10,ruff ruff ruff ruff ruff,dog pig,,child,dog,,dog,pig
A3,5,59,56,57,56.5,10,heres a doggy,dog pig,dog,child,dog,,dog,pig
A3,6,61,58,59,58.5,12,heres the doggy,dog pig,dog,child,dog,,dog,pig
A3,7,65,60,61,60.5,14,ruff ruff ruff ruff ruff ruff,dog pig,,child,dog,,dog,pig
A3,8,68,62,63,62.5,16,ruff ruff ruff,dog pig,,dog,dog,,dog,dog
A3,9,69,66,67,66.5,20,look at the doggy,dog pig,dog,dog,dog pig,,dog,dog
A3,10,72,68,69,68.5,22,ah look at the doggy,dog pig,dog,dog,,,dog,dog
A3,11,74,71,72,71.5,25,nice doggy,dog pig,dog,child,,,dog,dog
A3,12,76,72,73,72.5,26,yes we love the doggy,dog pig,dog,child,child,,,dog
A3,13,77,75,76,76.5,30,yeah,dog pig,,child,child,,,dog
A3,14,81,76,77,76.5,30,look at the doggy ah,dog pig,dog,child,child,,mom,dog
A3,15,82,80,81,81.5,35,and heres the piggy,dog pig,pig,child,pig,,pig,dog
A3,16,84,81,82,81.5,35,heres the pig,dog pig,pig,child,pig,,pig,dog
A3,17,86,83,84,83.5,37,heres the pig,dog pig,pig,child,pig,,pig,dog
A3,18,106,85,86,85.5,39,heres the pig,dog pig,pig,child,pig,,pig,dog
A3,19,107,103,105,106,59.5,what does the doggy say,dog pig,dog,dog,child,,dog,dog
A3,20,108,103,106,107,60.5,does the doggy say ruff ruff ruff,dog pig,dog,dog,child,,dog,dog
A3,21,110,107,108,107.5,61,ruff ruff ruff,dog pig,,child,child,,dog,dog
A3,22,114,108,110,109,62.5,see his nose and eyes,dog pig,dog,dog,,dog,dog,dog
A3,23,117,113,114,113.5,67,and here are his paws and hes soft,dog pig,dog,dog,dog,dog,dog,dog
A3,24,120,115,117,116,69.5,oh what a nice doggy,dog pig,dog,dog,dog,,dog,dog
A3,25,123,118,119,118.5,72,and here are his ears floppy ears and theres the pig,dog pig,dog pig,dog,dog,,pig,pig
A3,26,125,120,123,124,77.5,theres the pig,dog pig,pig,child,,,mom,pig
A3,27,146,123,125,124,77.5,look at the pig,dog pig,pig,pig,pig,,pig,
A3,28,147,144,145,144.5,98,oh  oh  oh wheres the doggy,dog pig,dog,dog,dog pig,,pig,
A3,29,148,146,147,147.5,101,wheres the doggy,dog pig,dog,child,dog pig,,dog pig,
A3,30,149,148,149,149,102.5,wheres the doggy,dog pig,dog,child,,,dog pig,
A3,31,152,,149,150.5,104,wheres the doggy,dog pig,dog,child,,,dog pig,
A3,32,157,151,151,151,104.5,get the doggy yes we love the dog,dog,dog,child,,,,dog
A3,33,164,152,156,154,107.5,we love the dog,dog,dog,child,,,,dog
A3,34,169,163,164,163.5,117,oh,dog pig car truck,,car,,,car,
A3,35,179,168,169,168.5,122,car,car,car,child,,,car,
A3,36,180,177,178,177.5,131,okay come on,dog pig car truck,,truck,truck,,car,car
A3,37,234,178,180,179,132.5,wheres that car,car truck,car,truck,truck,,car,car
A3,38,238,233,234,233.5,187,crash,car truck,,car truck,truck,,car truck,car
A3,39,254,237,238,237.5,191,there he goes,car truck,truck,car,car,,truck,truck
