video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A17,1,259,,253,256,0,do you like that car,car truck,car,child,,,,car truck
A17,2,260,,259,259.5,3.5,do you like the car,car truck,car,child,,,,car truck
A17,3,262,261,260,261.5,5.5,do you see this dog,car truck dog pig,dog,dog,dog,,,car truck
A17,4,263,263,261,263,7,do you know what sound a dog makes,car truck dog pig,dog,child,dog,,,car truck
A17,5,265,264,263,264.5,8.5,can you tell me,car truck dog pig,,child,dog,,,car truck
A17,6,267,,265,266,10,that ruff ruff ruff thats right,car truck dog pig,,child,dog,,dog,car truck
A17,7,273,,269,271,15,ruff ruff ruff ruff ruff,car truck dog pig,,child,dog,,dog,car truck
A17,8,279,278,272,278.5,22.5,it i make the pig go  like this can you make the doggy go,car truck dog pig,pig dog,pig,pig,,pig,car truck
A17,9,284,280,279,279.5,23.5,so the doggy can talk to the pig,car truck dog pig,dog pig,child,pig,,pig,car truck
A17,10,287,284,283,283.5,27.5,you do that,car truck dog pig,,child,pig,,dog,car truck
A17,11,288,,286,287,31,car you want the car to talk to the pig,car truck dog pig,car pig,pig,pig,,pig,car truck
A17,12,290,289,288,289.5,33.5,hi how are you,car truck dog pig,,pig,pig,,pig,car truck
A17,13,291,,290,290.5,34.5,what does the car say,car truck dog pig,car,pig,pig,,pig,car truck
A17,14,295,,291,293,37,and now you want the truck to talk to the pig ok,car truck dog pig,truck,pig,pig,,pig,car truck
A17,15,299,,293,296,40,hi yeah yeah,car truck dog pig,,child,pig,,pig,car truck
A17,16,302,,297,299.5,43.5,do you want the pig to give you a kiss,car truck dog pig,pig,child,pig,,pig,car truck
A17,17,305,301,300,300.5,44.5,yeah,car truck,,child,pig,,,car truck
A17,18,308,306,304,307,51,oh boy theyre theyre having a good time here arent they,dog pig,dog pig,dog,pig,,dog,dog
A17,19,309,307,307,307,51,yeah,dog pig,,dog,pig,,dog,dog
A17,20,312,309,308,308.5,52.5,should they go walking together,dog pig,dog pig,child,pig,,pig,dog
A17,21,316,311,310,310.5,54.5,or do you want them to fight,dog pig,dog pig,child,pig,,pig,dog
A17,22,321,318,315,319.5,63.5,should the doggy kiss the can you make the doggy kiss the pig,dog pig,dog pig,dog,pig,,dog,
A17,23,323,322,322,322,66,thats nice,dog pig,,child,pig,,,dog
A17,24,327,324,323,323.5,67.5,can you make the doggy kiss you,dog truck car,dog,child,pig,,car truck,dog
A17,25,332,328,327,327.5,71.5,oh you want the pig to kiss you,dog pig,pig,child,pig,,pig,dog
A17,26,334,331,330,330.5,74.5,you want to give me a kiss,dog pig,,child,pig,,mom,dog
A17,27,337,335,334,334.5,78.5,you do dont you huh,dog pig,,child,pig child,,mom,dog
A17,28,339,,337,338,82,yeah,dog pig,,child,pig,,mom,dog
A17,29,341,,338,339.5,83.5,do you want to try to play with the pig,dog pig,,pig,pig,,pig,dog
A17,30,345,341,340,340.5,84.5,put your hand in here,dog pig,pig,child,pig,,pig,dog
