video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A36,1,1,12,1,1,0,who is that,car truck,,child,child,,,
A36,2,2,13,2,2,1,who is that over there huh,car truck,,child,child,,,
A36,3,3,15,4,3.5,2.5,do you see the car,,car,child,child car,,,
A36,4,4,17,5,4.5,3.5,megan,,,child,child car,,,
A36,5,6,18,6,6,5,megan,car,,child,child car,,car,
A36,6,8,20,8,8,7,is this a car,car,car,child,child car,,car,
A36,7,11,22,10,10.5,9.5,car,car,car,child,child car,,car,car
A36,8,12,24,12,12,11,its a pretty red car huh,car,car,child,child,,car,car
A36,9,16,27,15,15.5,14.5,yeah you like to put everything in your mouth dont you,car,,child,child car,,,car
A36,10,18,30,18,18,17,lets look at the truck,car,truck,truck,child,,car,car
A36,11,20,33,20,20,19,truck,car truck,truck,child,child truck,,car,car
A36,12,21,34,21,21,20,megan,car truck,,child,child truck,,truck,car
A36,13,22,34,21,21.5,20.5,truck,car truck,truck,child,child truck,,truck,car
A36,14,23,35,23,23,22,truck,car truck,truck,child,child,,truck,car truck
A36,15,27,39,27,27,26,yeah look at that,car truck,car,child,car truck,,,
A36,16,29,41,29,29,28,which one do you like best,car truck,,child,car truck,,,
A36,17,35,45,34,34.5,33.5,thats the car,car truck,car,child,car truck,,car,car
A36,18,36,47,36,36,35,yeah thats a car,car truck,car,child,child truck,,car,car
A36,19,42,53,41,41.5,40.5,here it is,car truck,car,child,child car,,car,car
A36,20,44,55,43,43.5,42.5,you like that huh,car,car,child,child car,,car,car
A36,21,46,57,45,45.5,44.5,is that pretty,car,car,child,child car,,car,car
A36,22,48,59,47,47.5,46.5,its pretty red,car,car,child,child,,,car
A36,23,53,65,53,53,52,yeah,car,,child,child car,,car,
A36,24,55,67,55,55,54,look at,car,,car,child car,,car,
A36,25,56,68,56,56,55,the wheels,car,car,car,child car,,car,
A36,26,58,70,59,58.5,57.5,yeah,car,,child,child car,,car,car
A36,27,63,75,63,63,62,everything in your mouth huh,car,,child,child car,,car,
A36,28,66,78,65,65.5,64.5,here,car truck,,child,car truck,,truck,
A36,29,68,79,67,67.5,66.5,heres a truck,car truck,truck,child,car truck,,truck,
A36,30,74,85,73,73.5,72.5,ill put you down there,car truck,,,child,,car truck,
A36,31,77,89,76,76.5,75.5,ashley you need to go sit down please okay,car truck,,car truck,child truck,,,
A36,32,80,92,79,79.5,78.5,well you sit over there and watch alright,car truck,,,child,,car truck,
A36,33,89,100,89,89,88,ashley maybe you need to sit behind me okay,car truck,,,child,,car truck,
A36,34,95,107,95,95,94,do you want to see that,car truck,,truck,child,,,
A36,35,97,109,97,97,96,Do you want to go down here and play with those,car truck,car truck,car truck,child,,car truck,
A36,36,101,112,100,100.5,99.5,there,car truck,,child,,,car truck,
A36,37,104,116,104,104,103,she likes that red car doesnt she,car truck,car,child,,,car,car
A36,38,107,118,106,106.5,105.5,yeah,car truck,,child,child,,car,
A36,39,112,122,111,111.5,110.5,oh whats the trouble,,,child,child,,,
A36,40,113,124,113,113,112,whats the trouble honey,car truck,,child,child,,,
A36,41,115,126,114,114.5,113.5,here you go,car truck,,child,child car,,,
A36,42,115,127,115,115,114,here you go,car truck,,child,child car,,,
A36,43,117,128,116,116.5,115.5,here you go,car truck,,child,child car,,,
A36,44,119,129,118,118.5,117.5,who is that huh,car truck,,child,child car,,,
A36,45,121,132,121,121,120,its a car,car truck,car,child,child,,car,car
A36,46,122,133,122,122,121,a pretty car,car truck,car,child,child,,car,car
A36,47,130,142,130,130,129,is that a car,car truck,car,child,child,,car,car
A36,48,133,145,133,133,132,a car,car truck,car,child,child,,car,car
A36,49,135,147,135,135,134,yes it is,car truck,car,child,child,,car,car
A36,50,138,148,137,137.5,136.5,this is a truck,car truck,truck,truck,truck,,truck,
A36,51,139,150,139,139,138,see the bear,car truck,,truck,truck,,truck,truck
A36,52,140,151,140,140,139,do you see the little bear,car truck,,truck,truck,truck,truck,truck
A36,53,142,154,142,142,141,theres a bear on that truck,car truck,truck,child,truck,,truck,
A36,54,149,161,148,148.5,147.5,i can tell which one you like best huh,car truck,,child,child,,car,car
A36,55,153,164,152,152.5,151.5,yeah i think so,car truck,,,child,,,car
A36,56,154,166,154,154,153,she likes that red car doesnt she,car truck,car,,child,,,car
A36,57,159,170,158,158.5,157.5,yeah,car truck,,child,child,,,car
A36,58,163,174,163,163,162,i hope you dont mind if she chews on the toys,car truck,,,child,,,car
A36,59,167,179,167,167,166,try this one again,car truck,truck,truck,truck,,truck,car
A36,60,175,187,176,175.5,174.5,tst goodness sakes,car truck,,child,child,,truck,truck
A36,61,177,189,177,177,176,shes getting teeth as you can tell,car truck,,child,child,,,truck
A36,62,180,193,181,180.5,179.5,yeah,car truck,,child,child,,,truck
A36,63,182,194,182,182,181,who is that huh,car truck,,,child,,,truck
A36,64,199,210,198,198.5,197.5,wheres the car,car truck,car,child,child,,,truck
A36,65,200,212,199,199.5,198.5,megan wheres the car,car truck,car,child,child,,,truck
A36,66,202,213,201,201.5,200.5,wheres the car,car truck,car,child,child,,mom,truck
A36,67,204,215,203,203.5,202.5,wheres the car,car truck,car,child,child,,mom,truck
A36,68,205,217,204,204.5,203.5,wheres the car,car truck,car,child,child,,,truck
A36,69,207,218,206,206.5,205.5,megan wheres the car,car truck,car,child,child,,,truck
A36,70,210,221,209,209.5,208.5,is this the car,car truck,car,child,child car,,car,truck
A36,71,211,223,211,211,210,is this the car,car truck,car,child,child car,,car,car truck
A36,72,214,225,213,213.5,212.5,yeah thats the red car,car truck,car,child,child,,,car
A36,73,217,228,216,216.5,215.5,thats the car,car truck,car,child,child,,,car
A36,74,222,233,222,222,221,wheres the truck,car truck,truck,child,child,,,car
A36,75,224,234,223,223.5,222.5,wheres the truck,car truck,truck,child,child,,,car
A36,76,227,238,227,227,226,see the truck,car truck,truck,child,child truck,,truck,car
A36,77,230,242,230,230,229,thats the truck,car truck,truck,child,child truck,,truck,truck
A36,78,238,250,238,238,237,does that taste good,car truck,truck,child,child,,mom,truck
A36,79,240,252,239,239.5,238.5,huh,car truck,,child,child,,mom,truck
A36,80,241,253,241,241,240,does that taste good,car truck,truck,child,child,,mom,truck
A36,81,243,255,243,243,242,youve got the sun in your eye again huh,car truck,,child,child,,,truck
A36,82,245,257,245,245,244,lets put you down here,car truck,,child,child,,,truck
A36,83,251,263,250,250.5,249.5,lets see what you do huh,car truck,,child,,,car truck,
A36,84,260,272,260,260,259,i think well have to buy megan a little red car to play with,car truck,car,,,,car,car
A36,85,265,277,264,264.5,263.5,yeah,car truck,,child,,,,car
A36,86,266,278,265,265.5,264.5,ashley can you go sit back there please,car truck,,,,,car,car
A36,87,270,282,269,269.5,268.5,shes being distracted by you okay just so the,car truck,,,,,,car
A36,88,273,284,272,272.5,271.5,thats a microphone,car truck,,,,,car,car
A36,89,274,285,273,273.5,272.5,i need to have you sit back here,car truck,,,,,car,car
A36,90,276,288,276,276,275,be very quiet then,car truck,,,,,car,car
A36,91,278,290,278,278,277,okay i think we can switch pairs here,car truck dog pig,,child,,,car,car
A36,92,281,292,280,280.5,279.5,okay,car truck dog pig,,child,,,car,car
A36,93,281,293,281,281,280,and a pig and a dog,car truck dog pig,pig dog,child,,,pig,car
A36,94,282,294,282,282,281,lets see if shell let go of the red car here,car truck dog pig,car,car,car,,pig,car
A36,95,288,298,287,287.5,286.5,megan look,dog pig,,dog pig,dog pig,,,
A36,96,289,300,288,288.5,287.5,look,dog pig,,dog pig,dog pig,,,
A36,97,290,301,289,289.5,288.5,wheres the doggie,dog pig,dog,child,dog pig,,dog,
A36,98,291,302,290,290.5,289.5,mmm a doggies,dog pig,dog,child,dog pig,,dog,
A36,99,292,304,291,291.5,290.5,is that the doggie,dog pig,dog,child,dog pig,,pig,
A36,100,294,305,293,293.5,292.5,wheres the doggie,dog pig,dog,child,dog pig,,dog,
A36,101,295,307,294,294.5,293.5,wheres the doggie,dog pig,dog,child,dog pig,,dog,
A36,102,296,308,296,296,295,yes thats a doggie,dog pig,dog,dog,dog pig,,dog,dog
A36,103,299,311,298,298.5,297.5,that looks like your doggie,dog pig,dog,child,dog pig,,dog,dog
A36,104,301,313,300,300.5,299.5,yes it does,dog pig,dog,dog,dog pig,,dog,
A36,105,303,315,302,302.5,301.5,look at the doggie,dog pig,dog,dog,dog pig,,dog,
A36,106,305,317,305,305,304,yeah,dog pig,,child,pig,,pig,
A36,107,306,318,306,306,305,this is a piggy,dog pig,pig,child,pig,,pig,
