video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,kid.hands,kid.eyes,mom.point
A31,1,636,636,636,636,0,are you my boy,truck,,child,truck,truck,,
A31,2,639,640,637,639.5,3.5,yeah,truck,,child,truck,truck,truck,
A31,3,646,646,645,646,10,brrrrrn,truck,,child,truck,truck,,
A31,4,650,650,650,650,14,drrrrrn,truck,,child,truck,truck,,
A31,5,652,652,653,652,16,here it comes,truck,truck,child,truck,truck,,
A31,6,654,655,655,655,19,here it comes,truck,truck,child,truck,truck,,
A31,7,656,657,657,657,21,its gonna get you,truck,truck,child,truck,truck,,
A31,8,661,662,662,662,26,shhhhhhm,truck,,child,truck,truck,,
A31,9,665,666,666,666,30,shhhhhhm,truck,,child,truck,truck,,
A31,10,673,674,673,673,37,its gonna get you,truck,truck,child,truck,truck,,
A31,11,676,677,676,676,40,its gonna get you,,truck,child,truck,,,
A31,12,680,680,680,680,44,robert,truck,,child,truck,mom,,
A31,13,682,682,682,682,46,whered it go,truck,truck,child,truck,mom,,
A31,14,684,684,684,684,48,there it is,truck,truck,child,truck,truck,,
A31,15,687,687,687,687,51,whered it go,,truck,child,truck,mom,,
A31,16,690,690,690,690,54,oh no not gonna get upset,truck,,child,truck,truck,,
A31,17,693,693,692,693,57,you have to have that truck huh,truck,truck,child,,truck,truck,
A31,18,696,697,696,696,60,was i making you mad,truck,,child,,mom,truck,
A31,19,698,699,698,698,62,was i making you mad,truck,,child,,mom,truck,
A31,20,702,703,702,702,66,oh dont hit yourself with the nose,truck,,child,,mom,truck,
A31,21,705,705,704,705,69,silly guy,truck,,child,car,mom,truck,
A31,22,709,709,708,709,73,robert,truck,,child,car,truck,truck,
A31,23,711,712,712,712,76,robert,truck,,child,car,truck,truck,
A31,24,714,714,714,714,78,robert,truck car,,child,car,truck,truck,
A31,25,715,716,715,715,79,hey,truck,,child,car,truck,truck,
A31,26,716,717,716,716,80,robert,truck,,child,car,mom,truck,
A31,27,717,718,718,718,82,hello there,truck car,,child,car,truck,truck,
A31,28,721,721,721,721,85,look at this,truck car,car,child,car,truck,truck,
A31,29,722,722,722,722,86,look what i got,truck car,car,child,car,truck,truck,
A31,30,724,725,725,725,89,can you see what i have,truck car,car,child,car,truck,truck,
A31,31,725,727,726,726.5,90.5,tshhhhhhh,truck car,,child,car,car,truck,
A31,32,730,731,730,730,94,say a bird in the hand,truck car,,child,car,car,truck,
A31,33,732,733,733,733,97,shhhhhh,truck car,,child,car,car,truck,
A31,34,735,735,735,735,99,like that,truck car,,child,car,truck,truck,
A31,35,741,741,741,741,105,what,truck,,child,car,mom,truck,
A31,36,742,742,743,742,106,what did you say,truck,,child,car,mom,truck,
A31,37,745,745,745,745,109,did you say ga,truck,,child,car,truck,truck,
A31,38,749,750,749,749,113,didnt say truck,truck,truck,child,car,mom,truck,
A31,39,752,752,751,752,116,truck,truck,truck,child,car,mom,truck,
A31,40,753,754,753,753,117,can you say truck,truck,truck,child,car,mom,truck,
A31,41,756,756,756,756,120,huh,truck,,child,car,mom,truck,
A31,42,759,759,758,759,123,truck,truck,truck,child,car,mom,truck,
A31,43,762,762,762,762,126,this is a car,car truck,car,child,car,car,truck,
A31,44,763,764,764,764,128,thats a shiny car,car,car,child,car,car,,
A31,45,769,765,767,768,132,yeah,car,,child,,mom,car,
A31,46,770,771,770,770,134,oh does it taste good,car,car,child,,mom,car,
A31,47,772,773,771,772.5,136.5,does it taste good,car,car,child,child,mom,car,
A31,48,777,778,777,777,141,oh theres a garbage truck outside too,car,,child,child,mom,car,
A31,49,780,780,780,780,144,thats a big truck,car,,child,child,mom,car,
A31,50,783,784,783,783,147,big noisy garbage truck,car,,child,child,mom,car,
A31,51,795,796,796,796,160,what did you say,car,,child,truck,mom,car,
A31,52,797,797,797,797,161,what did you say,truck,,child,truck,mom,,
A31,53,799,799,799,799,163,huh,truck,,child,truck,truck,,
A31,54,800,801,801,801,165,i think you like this one the best,truck,truck,child,truck,truck,,
A31,55,805,806,805,805,169,red wheels and yellow and green its so pretty,truck,truck,child,truck,truck,truck,
A31,56,809,810,809,809,173,and its wood,truck,truck,child,,mom,truck,truck
