video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A33,1,35,34,30,34.5,0,come here,,,child,pig child,,mom,
A33,2,36,35,35,35,0.5,da doot da doot,pig,,child,pig,,,
A33,3,38,37,38,38,3.5,tst tst tst tst,pig,,child,pig,,,
A33,4,44,41,40,40.5,6,oink oink oink,pig,,child,pig,,,
A33,5,46,47,45,46.5,12,hm heres a dog,dog,dog,dog,dog pig,,,
A33,6,48,48,47,48,13.5,heres a dog,dog,dog,child,dog,,dog,
A33,7,49,49,50,49,14.5,thats right,dog,,child,dog,,dog,
A33,8,50,50,52,50,15.5,would you like to play with the dog,dog,dog,child,dog,,dog,dog
A33,9,53,53,56,53,18.5,you think so huh,dog,,child,dog,,dog,dog
A33,10,60,60,58,60,25.5,a ruh ruh ruh,dog,,child,,,dog,dog
A33,11,67,66,71,66.5,32,are you gonna eat the dog,dog,dog,child,,dog,dog,dog
A33,12,75,75,76,75,40.5,what do you think of the dog,dog,dog,child,dog,,dog,
A33,13,89,89,88,89,54.5,how about the pig,pig dog,pig,child,pig,,pig,pig
A33,14,90,90,91,90,55.5,do you like the pig,pig,pig,child,pig,,pig,pig
A33,15,94,94,96,94,59.5,oink oink oink,pig,,child,pig,,pig,
A33,16,106,106,106,106,71.5,tst tst tst tst,pig,,child,pig,,pig,
A33,17,110,109,110,110,75.5,do you want the pig,pig,pig,child,pig,,pig,pig
A33,18,112,111,118,111.5,77,can we buy the pig,pig,pig,,pig,,pig,pig
A33,19,126,127,122,126.5,92,tst tst tst tst,dog,,child,dog,,dog,
A33,20,128,128,129,128,93.5,what do you think,dog,,child,dog,,dog,
A33,21,129,129,131,129,94.5,what do you think,dog,,child,dog,,dog,
A33,22,130,132,133,132.5,98,hey,dog,,child,,,dog,dog
A33,23,146,146,147,146,111.5,are you trying to make a noise like a pig,dog pig,pig,child,pig,,,
A33,24,148,148,150,148,113.5,oink oink oink,pig,,child,pig,,pig,pig
A33,25,159,159,153,159,124.5,this is a great pig,pig,pig,child,pig,,pig,
A33,26,161,160,156,160.5,126,yes,pig,,child,pig,,pig,
A33,27,161,161,159,161,126.5,its a great pig,pig,pig,child,pig,,pig,
A33,28,163,162,161,162.5,128,what do you think of that pig,pig,pig,child,pig,,pig,
A33,29,164,164,164,164,129.5,what about the pigs tail,pig,pig,child,pig,,pig,
A33,30,166,166,169,166,131.5,pigs dont have tails like this,pig,pig,child,pig,,pig,
A33,31,181,181,182,181,146.5,heres the dog,pig dog,dog,child,dog,,dog,
A33,32,181,182,183,182.5,148,woof,pig dog,dog,child,dog,,dog,
A33,33,183,183,184,183,148.5,the dog goes woof,dog,dog,child,dog,,dog,
A33,34,184,184,185,184,149.5,you saw a dog yesterday,dog,dog,child,dog,,dog,
A33,35,185,186,186,186,151.5,remember you saw a dog yesterday,dog,dog,child,dog,,dog,
A33,36,187,187,187,187,152.5,you saw misty yesterday,dog,,child,dog,,dog,
A33,37,188,188,189,188,153.5,thats right,dog,,child,dog,,dog,
A33,38,189,189,190,189,154.5,you saw misty yesterday,dog,,child,dog,,dog,
A33,39,204,205,207,204.5,170,tst tst tst,dog pig,,child,dog,,dog,
A33,40,208,208,210,208,173.5,i dont suppose youd roll over for it would you,dog pig,pig,child,dog pig,,dog,
A33,41,211,212,213,212.5,178,do you want to go roll over,dog,,child,dog,,dog,
A33,42,226,227,227,227,192.5,youre going to eat the dog,dog,dog,child,,,dog,dog
A33,43,228,228,230,228,193.5,eat the dogs nose,dog,dog,child,,,dog,dog
A33,44,245,245,245,245,210.5,very good,,,child,pig,,dog,
A33,45,246,246,246,246,211.5,very good,dog,,child,pig,,dog,
A33,46,251,250,251,251,216.5,and you did it again,,,child,,,,
A33,47,252,252,253,252,217.5,that was very good,,,pig,pig,,pig,
A33,48,255,254,255,255,220.5,would you like to see the pig,pig,pig,child,pig,,pig,
A33,49,256,256,257,256,221.5,would you like to see the pig,pig,pig,child,pig,,pig,
A33,50,257,257,259,257,222.5,yes i like the pig,pig,pig,child,,,pig,pig
A33,51,259,259,260,259,224.5,i like the pig,pig,pig,child,,,pig,pig
A33,52,261,261,262,261,226.5,how about the dog,dog,dog,child,dog,,dog,
A33,53,262,262,264,262,227.5,which do you like better,dog,pig dog,child,dog,,dog,
A33,54,263,263,265,263,228.5,do you like the dog or the pig,dog,pig dog,child,dog,,dog,
A33,55,265,265,266,265,230.5,oh you like the dog,dog,dog,child,dog,,dog,dog
A33,56,266,266,268,266,231.5,you like the pig you like them both,dog pig,pig,child,,,,dog pig
A33,57,269,269,270,269,234.5,youll take both of them,,dog pig,child,,,,
A33,58,271,271,272,271,236.5,my husband would love this pig,dog,pig,,pig,,dog,
A33,59,273,273,275,273,238.5,he would adore this pig,dog,pig,,pig,,dog,
A33,60,275,275,278,275,240.5,i mean the dog is cute dont misunderstand,dog pig,dog,,dog,,dog,
A33,61,277,277,280,277,242.5,but,dog pig,,,pig,,dog,
A33,62,281,282,284,281.5,247,he does,pig,pig,,pig,,,
A33,63,295,295,296,295,260.5,doo be doo be doo be doo,pig,,child,pig,,pig,pig
A33,64,308,308,304,308,273.5,okay,dog pig,,child,truck,,,
A33,65,312,311,305,311.5,277,what do you think about this big buddy,car truck,car truck,child,truck,,,
A33,66,313,313,310,313,278.5,youre gonna roll away here,car truck,,child,truck,,,
A33,67,314,314,315,314,279.5,what do you think about this,,car truck,child,truck,,,
A33,68,316,316,317,316,281.5,this is a truck,,truck,child,truck,,,
A33,69,329,329,332,329,294.5,hmmm,,,child,,,truck,truck
A33,70,332,332,334,332,297.5,maybe i can eat that too,truck,truck,child,,,truck,truck
A33,71,336,336,338,336,301.5,were into eating everything now,truck,,,,,truck,truck
A33,72,337,337,340,337,302.5,yeah,truck,,,,,truck,truck
A33,73,342,342,342,342,307.5,nontoxic paint,truck,,,,truck,truck,truck
A33,74,343,343,344,343,308.5,so its reasonably clean,truck,,,,truck,truck,truck
A33,75,344,344,346,344,309.5,just thought id ask,truck,,,,,truck,truck
A33,76,348,345,348,348,313.5,yeah,truck,,,,,truck,truck
A33,77,349,349,350,349,314.5,what do you think about the car,truck car,car,child,car,,truck,truck
