video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,kid.hands,kid.eyes,mom.point
A16,83,621,621,622,621,223,there are hotdogs,hotdog,hotdog,child,,hotdog,hotdog,
A16,84,623,623,624,623,225,ha,hotdog,,hotdog,,hotdog,hotdog,
A16,85,624,624,625,624,226,opp you dropped one,hotdog,hotdog,hotdog,hotdog,hotdog,hotdog,
A16,86,629,629,629,629,231,do you want to eat the hotdog,hotdog,hotdog,child,,hotdog,hotdog,
A16,87,631,630,631,631,233,can you eat them,hotdog,hotdog,child,hotdog,hotdog,hotdog,
A16,88,633,633,633,633,235,huh,hotdog,,hotdog,,hotdog,hotdog,
A16,89,635,635,635,635,237,look,hotdog,,hotdog,,hotdog,hotdog,
A16,90,636,636,636,636,238,you know what well do,hotdog,,hotdog,hotdog,hotdog,hotdog,
A16,91,638,639,639,639,241,wheres the hotdog,hotdog brush box,hotdog,hotdog,hotdog,,,
A16,92,641,642,642,642,244,emmy,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,93,642,643,643,643,245,whats in here,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,94,644,645,644,644,246,ha,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,95,645,645,645,645,247,whats in there,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,96,647,647,647,647,249,what are you going to do,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,97,648,649,649,649,251,ha,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,98,650,650,650,650,252,ha,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,99,652,652,651,652,254,there it is,hotdog brush box,hotdog,hotdog,,hotdog,hotdog,
A16,100,654,654,654,654,256,two hotdogs yeah,hotdog,hotdog,child,,hotdog,hotdog,
A16,101,659,659,659,659,261,whats in the can,,,child,,,,
A16,102,661,661,661,661,263,no you dont need to get all your  vegetables too,,,child,,,,
A16,103,673,673,673,673,275,you just want to make a mess,,,child,,,,
A16,104,675,674,674,674,276,here lets lets come over here and look in the box,hotdog brush box,,child,child,,,
A16,105,676,676,676,676,278,come here,hotdog brush box,,child,child,,,
A16,106,678,678,679,678,280,whats in here,hotdog brush box,,child,,,,
A16,107,681,681,681,681,283,can you open that,hotdog brush waffles box,,child,,,,
A16,108,684,684,684,684,286,ha,hotdog brush waffles box,,waffles,,waffles,,
A16,109,687,687,687,687,289,are those waffles,hotdog brush waffles box,waffles,waffles,,waffles,waffles,
A16,110,689,690,689,689,291,does emily like waffles,hotdog brush waffles box,waffles,child,child,waffles,waffles,
A16,111,699,698,698,698,300,where are your waffles now,hotdog brush box,waffles,child,,,,
A16,112,700,700,700,700,302,where did you put them,hotdog brush box,waffles,child,,,,
A16,113,703,702,702,702,304,where are they,hotdog brush box,waffles,child,,,,
A16,114,708,707,708,708,310,whats in there,hotdog brush box,,waffles,waffles,waffles,,
A16,115,711,711,711,711,313,ha,hotdog brush waffles box,,waffles,waffles,waffles,,
A16,116,712,712,712,712,314,ha,hotdog brush waffles box,,waffles,waffles,waffles,waffles,
A16,117,714,714,714,714,316,two waffles,hotdog brush waffles box,waffles,waffles,,waffles,waffles,
A16,118,715,715,715,715,317,can we put a hotdog in the box,hotdog brush waffles box,hotdog,hotdog,hotdog,hotdog,waffles,
A16,119,718,719,719,719,321,no not quite huh,hotdog brush waffles box,,hotdog,hotdog,hotdog,waffles,
A16,120,727,727,727,727,329,yeah you like hotdog huh,hotdog brush waffles box,hotdog,child,child,,hotdog,
A16,121,732,732,732,732,334,no emmy come here come here,alphabet,,child,waffles,,,
A16,122,734,734,734,734,336,whats in this box,alphabet,,box,box,,,
A16,123,735,734,734,734,336,emmy,alphabet,,child,box,,,
A16,124,736,735,735,735,337,emmy,alphabet,,child,box,,,
A16,125,737,736,736,736,338,emmy whats in here,alphabet,,child,box,,,
A16,126,738,738,738,738,340,emily,alphabet,,child,box,alphabet,alphabet,
A16,127,741,741,741,741,343,one more huh,alphabet,,child,box,alphabet,alphabet,
A16,128,743,742,742,742,344,set out the alphabet,alphabet,alphabet,child,,,alphabet,
A16,129,748,748,748,748,350,come here,alphabet,,child,,,alphabet,
A16,130,749,749,748,749,351,come here,alphabet,,child,,,alphabet,
A16,131,750,750,750,750,352,em em,alphabet,,child,,,alphabet,
A16,132,757,758,758,758,360,can you open that,alphabet pepperoni cheese hotdog brush box,,,,,,
A16,133,760,760,760,760,362,ha,alphabet pepperoni cheese hotdog brush box,,,,,,
A16,134,761,761,761,761,363,what is that,alphabet pepperoni cheese hotdog brush box,,,,,,
A16,135,762,762,762,762,364,is that the top,alphabet pepperoni cheese hotdog brush box,,,,,,
A16,136,770,770,770,770,372,uh oh did you drop the  pepperoni,alphabet pepperoni cheese hotdog brush box,pepperoni,child,,pepperoni,,
A16,137,776,776,776,776,378,emmy whats in here,alphabet pepperoni cheese hotdog brush box,,child,alphabet,alphabet,,
A16,138,780,780,780,780,382,ha,alphabet pepperoni cheese hotdog brush box,,alphabet,alphabet,alphabet,,
A16,139,782,781,781,781,383,whats in there,alphabet pepperoni cheese hotdog brush box,,child,alphabet,alphabet,,
A16,140,788,789,789,789,391,come here lets put the pepperoni and the cheese back in this one,alphabet pepperoni cheese hotdog brush box,pepperoni cheese,pepperoni cheese,pepperoni cheese alphabet,pepperoni cheese,,
A16,141,792,793,793,793,395,huh,alphabet hotdog brush box,,pepperoni cheese,pepperoni cheese,,,
A16,142,796,796,796,796,398,do you want to put the top on,alphabet hotdog brush box,,child,,,,
A16,143,797,797,797,797,399,can you put the top on there for me,alphabet hotdog brush box,,child,,,,
A16,144,799,799,799,799,401,thank you,alphabet hotdog brush box,,,,,,
A16,145,800,800,800,800,402,good girl,alphabet hotdog brush box,,,,,,
A16,146,802,801,801,801,403,see and its all closed up,alphabet hotdog brush box,,,,,,
A16,147,804,832,805,804.5,406.5,ha,alphabet flashlight,flashlight,flashlight,,,,
A16,148,805,805,805,805,407,emily wha wha whats this,alphabet flashlight,flashlight,flashlight,flashlight,flashlight,alphabet,
A16,149,811,811,811,811,413,whos that,alphabet flashlight,,flashlight,flashlight,flashlight,alphabet,
A16,150,814,814,814,814,416,how did you get those,alphabet flashlight,flashlight,,flashlight,,alphabet,
A16,151,816,817,817,817,419,huh,alphabet flashlight,,child,flashlight,,alphabet,
A16,152,817,817,817,817,419,whats this,alphabet flashlight,flashlight,child,flashlight,,alphabet,
A16,153,819,818,819,819,421,is this your flashlight,alphabet flashlight,flashlight,child,flashlight,flashlight,alphabet,
A16,154,821,821,821,821,423,huh,alphabet flashlight,,child,,alphabet,alphabet,
A16,155,824,824,824,824,426,yeah is that your alphabet,alphabet flashlight,alphabet,,,alphabet,alphabet,
A16,156,833,833,833,833,435,here are you going to take all the alphabet out of there,alphabet flashlight,alphabet,alphabet,,alphabet,alphabet,
A16,157,838,838,838,838,440,and thats flashlight huh,alphabet flashlight,flashlight,flashlight,,flashlight,flashlight,
A16,158,840,841,841,841,443,wheres your other hotdog,alphabet flashlight hotdog,hotdog,child,,hotdog,flashlight hotdog,
A16,159,842,842,842,842,444,wheres the hotdog that goes in there,alphabet flashlight hotdog,hotdog,child,,,hotdog,
A16,160,844,844,844,844,446,are you sitting on it,alphabet flashlight hotdog,hotdog,child,,,hotdog,
A16,161,847,847,847,847,449,ha,hotdog,,child,,,hotdog,
A16,162,848,847,847,847,449,wheres the hotdog,hotdog,hotdog,child,,hotdog,hotdog,
A16,163,849,849,849,849,451,there it is,hotdog,hotdog,child,,hotdog,hotdog,
A16,164,850,850,850,850,452,does it go in the bun,alphabet flashlight hotdog,hotdog,hotdog,,hotdog,hotdog,
A16,165,851,851,851,851,453,can you put it back,alphabet flashlight hotdog,hotdog,hotdog,,hotdog,hotdog,
A16,166,853,854,854,854,456,good girl,alphabet flashlight hotdog,,child,,mom,hotdog,
A16,167,854,855,855,855,457,and put in on the plate with the other one,alphabet flashlight hotdog,hotdog,,,,hotdog,
A16,168,856,856,856,856,458,or no take the other one off the plate too,alphabet flashlight hotdog,hotdog,,,hotdog,hotdog,
A16,169,861,860,860,860,462,huh,alphabet flashlight hotdog,,hotdog,hotdog,hotdog,hotdog,
A16,170,864,865,864,864,466,can we put the flashlight in a bun,alphabet flashlight hotdog,flashlight hotdog,flashlight,flashlight,flashlight,hotdog,
A16,171,868,868,868,868,470,there how does that look,alphabet flashlight hotdog,,flashlight,flashlight,flashlight,hotdog,
A16,172,874,874,874,874,476,huh or how about some alphabets in here,flashlight,alphabet hotdog,hotdog,alphabet,,flashlight,
A16,173,878,878,877,878,480,emily come here,flashlight,,,,,flashlight,
A16,174,879,879,879,879,481,em em,flashlight,,,,,flashlight,
A16,175,884,884,884,884,486,ha,,,child,,mom,,
A16,176,885,884,884,884,486,what is that patricks,,,child,,mom,,
A16,177,887,887,887,887,489,look at that,hotdog,,,,,,
A16,178,890,890,890,890,492,Youre sitting on a hotdog i think,hotdog,hotdog,child,,,,
A16,179,893,893,893,893,495,and what else are you sitting on,hotdog,,,,,,
A16,180,894,894,894,894,496,oh patricks thing,hotdog,,,,,,
A16,181,899,899,899,899,501,ha,hotdog,,child,,,,
A16,182,901,901,901,901,503,you gonna eat it,hotdog cheese pepperoni,cheese pepperoni,child,child,,,
A16,183,902,902,902,902,504,Are you hungry,hotdog cheese pepperoni,,child,child,,,
A16,184,904,904,904,904,506,huh,hotdog cheese pepperoni,,child,,,,
A16,185,907,908,908,908,510,uh oh,hotdog cheese pepperoni,,pepperoni cheese,,pepperoni cheese,,
A16,186,915,916,916,916,518,put it back,hotdog cheese pepperoni,pepperoni,pepperoni,,pepperoni,pepperoni,
A16,187,916,917,916,916,518,and what about the cheese,hotdog cheese pepperoni,cheese pepperoni,pepperoni,,pepperoni,pepperoni,
A16,188,917,917,917,917,519,can you put the cheese back,hotdog cheese pepperoni,cheese pepperoni,pepperoni,,pepperoni,pepperoni,
A16,189,920,920,920,920,522,wheres the cheese,hotdog cheese pepperoni,cheese pepperoni,cheese,,cheese,,
A16,190,922,921,921,921,523,good girl,hotdog cheese pepperoni,,cheese,,cheese,cheese,
A16,191,923,923,923,923,525,and wheres the other piece,hotdog cheese pepperoni,cheese,cheese,,cheese,cheese,
A16,192,924,924,924,924,526,one more piece em,hotdog cheese pepperoni,cheese,cheese,,cheese,cheese,
A16,193,925,925,925,925,527,under your leg,hotdog cheese pepperoni,,cheese,,cheese,,
A16,194,926,926,926,926,528,its right under your leg,hotdog cheese pepperoni,cheese,cheese,,cheese,,
A16,195,929,929,929,929,531,there it is,hotdog cheese pepperoni,cheese,cheese,,cheese,,
A16,196,930,930,930,930,532,good girl,hotdog cheese pepperoni,,cheese,,cheese,cheese,
A16,197,934,934,934,934,536,yeah push it back in,hotdog cheese pepperoni,cheese,cheese,,cheese,cheese,
A16,198,935,935,935,935,537,and can you put the top on,hotdog cheese pepperoni,,cheese,,cheese,cheese,
A16,199,936,936,936,936,538,wheres the top emmy,hotdog cheese pepperoni,,child,,,,
A16,200,938,938,938,938,540,wheres the top,hotdog cheese pepperoni,,child,,,,
A16,201,940,941,941,941,543,ha,hotdog cheese pepperoni,,,,,,
A16,202,941,941,941,941,543,there it is,hotdog cheese pepperoni,,,,,,
A16,203,943,943,943,943,545,maybe we have to push the cheese down a little,hotdog cheese pepperoni,cheese,cheese,child,cheese,,
A16,204,944,945,945,945,547,there now can you push the top on,hotdog cheese pepperoni,,,,,,
A16,205,948,949,949,949,551,huh,hotdog,,,,,,
A16,206,950,950,950,950,552,here well straighten it out just a little bit,hotdog,,,,,,
A16,207,953,953,953,953,555,now push,hotdog,,,,,,
A16,208,954,954,954,954,556,there,hotdog,,,,,,
A16,209,956,956,956,956,558,there,hotdog,,,,,,
A16,210,958,958,958,958,560,i dont think you need two tops,hotdog,,,,,,
A16,211,959,959,959,959,561,i think that top goes on that can over there,hotdog,,,,,,
A16,212,961,962,962,962,564,see on this one,hotdog,,,,,,
A16,213,963,963,963,963,565,huh,hotdog,,,,,,
A16,214,964,964,964,964,566,do you think the hotdogs go in there like that,hotdog,hotdog,hotdog,hotdog,hotdog,,
A16,215,971,971,969,971,573,huh,hotdog,,hotdog,,hotdog,hotdog,
A16,216,972,971,972,972,574,no the hotdogs dont go in there,hotdog,hotdog,hotdog,,hotdog,hotdog,
A16,217,974,974,974,974,576,what about do the vegetables,,,,,,,
A16,218,982,982,982,982,584,oh yeah,,,,,,,
A16,219,984,,983,983.5,585.5,look at that,,,,,,,
A16,220,986,987,987,987,589,ha,,,,,,,
A16,221,988,989,989,989,591,huh,,,,,,,
A16,222,990,989,989,989,591,is that the pizza,,,,,,,
A16,223,991,991,991,991,593,boom,,,,,,,
A16,224,996,996,996,996,598,boom,,,,,,,
A16,225,1002,1003,1003,1003,605,how about can we put a top on this side,,,,,,,
A16,226,1005,1005,1005,1005,607,then it has a top on each side huh,,,,,,,
A16,227,1013,1013,1013,1013,615,yeah you made a tower,,,,,,,
A16,228,1016,1017,1017,1017,619,can you make it go boom,,,,,,,
A16,229,1020,1020,1020,1020,622,boom,,,,,,,
A16,230,1023,1024,1024,1024,626,boom,,,,,,,
A16,231,1024,1026,1026,1026,628,boom,,,,,,,
A16,232,1029,1029,1029,1029,631,here put this down,,,,,,,
A16,233,1030,1030,1030,1030,632,and do that,,,,,,,
A16,234,1031,1031,1031,1031,633,and then knock it over and say boom,,,,,,,
A16,235,1032,1035,1035,1035,637,boom,,,,,,,
A16,236,1048,1049,1049,1049,651,pull it off with your teeth,,,,,,,
A16,237,1052,1053,1053,1053,655,heres the cheese,cheese pepperoni,cheese,cheese,,cheese,cheese,
A16,238,1054,1054,1054,1054,656,yeah cheese,cheese pepperoni,cheese,cheese,,,cheese,
A16,239,1055,1055,1055,1055,657,do you have another cheese in there,cheese pepperoni,cheese,,,,,
A16,240,1058,1058,1058,1058,660,huh,cheese pepperoni,,,,,,
