video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A40,1,11,,676,10,0,oh my word,dog pig,,child,child,,dog pig,
A40,2,14,896,894,14,4,whats this,dog pig,dog,child,child dog,,dog,
A40,3,,918,910,15,5,whats this,dog pig,dog,child,child dog,,dog,
A40,4,16,,990,16,6,whats this,dog pig,dog,child,child dog,,dog,
A40,5,17,1038,1045,17,7,is this a doggie,dog pig,dog,child,child dog,,dog,dog
A40,6,18,,1129,18,8,is this a doggie,dog pig,dog,child,child dog,,dog,dog
A40,7,20,,,19,9,what does the doggie say,dog pig,dog,child,child dog,,dog,dog
A40,8,,1373,,22,12,you were gonna eat the doggie up,dog pig,dog,child,child dog,,dog,dog
A40,9,24,,1380,23,13,boo woo,dog pig,,child,child dog,,,dog
A40,10,,1502,1510,24,14,where,dog pig,,child,child dog,,,dog
A40,11,25,1540,1512,25,15,zeke,dog pig,,child,child dog,,,dog
A40,12,26,1568,1570,26,16,zeke,dog pig,,child,child dog,,,dog
A40,13,,1612,1610,26,16.5,wheres the doggie,dog pig,dog,child,child dog,,,dog
A40,14,28,1705,1705,28,18,wheres the doggie,dog pig,dog,child,child dog,,,
A40,15,29,1813,1813,29,19,boo woo woo woo,dog pig,,child,child dog,,dog,
A40,16,30,1893,1879,30,20,woof,dog pig,,child,child dog,,dog,
A40,17,31,1946,1929,31,21,woof,dog pig,,child,child dog,,dog,
A40,18,,1993,2000,32,22,woof woof,dog pig,,child,child dog,,dog,dog
A40,19,,2068,2080,34,24,oh yes thats the doggie,dog pig,dog,child,child dog,,dog,dog
A40,20,,2178,2113,36,26,thats the doggie,dog pig,dog,child,child dog,,dog,dog
A40,21,,2279,2300,37,27,whats this,dog pig,pig,pig,pig,,dog,dog
A40,22,,2369,2355,39,29,whats this,dog pig,pig,child,pig,,dog,dog
A40,23,,2498,2480,41,31,look,dog pig,,child,pig,,pig,dog
A40,24,,2578,2572,42,32,whats this,dog pig,pig,child,pig,,pig,
A40,25,49,2609,2630,43,33,is that a pig,dog pig,pig,child,pig,,pig,
A40,26,,2660,2660,44,34,is that a pig,dog pig,pig,child,pig,,pig,
A40,27,45,2728,2708,45,35,what does the pig say,dog pig,pig,child,pig,,pig,
A40,28,47,2880,2859,46,36,does the pig real well doesnt he,dog pig,pig,child,pig,,dog,
A40,29,49,2973,2940,48,38,does adam say,dog pig,,child,pig,,pig,
A40,30,51,3028,3019,50,40,is that what adam says,dog pig,,child,pig,,,pig
A40,31,53,3196,3167,52,42,yes thats a pig,dog pig,pig,child,pig,,,pig
A40,32,,3243,3242,54,44,you just want to eat him up,dog pig,pig,child,pig,,,pig
A40,33,,3382,3361,55,45,where,dog pig,,child,pig,,,pig
