video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A19,1,627,628,624,627.5,0,can you open the door,car truck,car,child,,,car,car
A19,2,630,631,629,630.5,3,can you open it yeah,car truck,car,child,,,car,car
A19,3,637,638,632,637.5,10,the other side,car truck,,car,,,car,car
A19,4,639,640,639,639,11.5,yeah,car truck,,car,,,car,car
A19,5,643,644,641,643.5,16,no,car truck,,car,,,car,car
A19,6,648,647,645,647.5,20,you gonna drive with the doors open,car truck,car,car,,,car,car
A19,7,648,653,648,648,20.5,yeah,car truck,,car,,,car,car
A19,8,651,654,649,650,22.5,close the doors,car truck,car,car,,,car,car
A19,9,652,665,652,652,24.5,close the doors,car truck,car,car,,,car,car
A19,10,660,666,653,663,35.5,now you can go driving,car truck,,car,,,car,car
A19,11,662,667,662,662,36,open,car truck,,car,,,car,
A19,12,674,674,664,674,46.5,open yeah,car truck,,car,,,car,car
A19,13,680,680,675,680,52.5,is there anybody in there,car truck,car,car,,,,car
A19,14,686,687,682,686.5,59,hey erin the steering wheels on the wrong side,car truck,car,car,car,,car,car
A19,15,690,690,687,690,62.5,yeah,car truck,,car,car,,car,car
A19,16,692,692,691,692,64.5,car,car truck,car,car,car,,car,car
A19,17,694,695,692,694.5,67,wheels,car truck,,car,car,,car,car
A19,18,745,747,697,746,118.5,mhmm,box brush,,brush,brush,,brush,
A19,19,749,750,747,749.5,122,yeah its sort of like a brush huh,box brush,brush,brush,child,,brush,brush
A19,20,751,752,750,751.5,124,windy,box brush,,child,,,,brush
A19,21,775,775,753,775,147.5,oh its pretty windy out,box brush,,child,,,brush,brush
A19,22,784,779,777,778,150.5,i think i know what her favorite is,box brush,,child,box,,mom,brush
A19,23,804,806,,805,177.5,erin,box brush,,brush,brush,,,
A19,24,807,810,805,806,178.5,cooking,box brush,,child,brush,,brush box,
A19,25,821,825,,823,195.5,you gonna cook,box brush,,brush,brush,,brush,
A19,26,852,851,,851.5,224,we dont put it in our hair when we cook,box brush,brush,child,,,,brush
A19,27,855,855,,855,227.5,thats a thats sort of like a comb this is a brush,box brush,brush,brush,brush,,brush,brush
A19,28,857,857,,857,229.5,this is a brush,box brush,brush,brush,brush,,brush,brush
A19,29,860,863,,861.5,234,its like a comb,box brush,brush,brush,brush,,brush,brush
A19,30,863,867,,865,237.5,its a brush,box brush,brush,child,,,mom,brush
A19,31,865,868,,866.5,239,and this is a box,box brush,box,box,box,,box,brush
A19,32,872,872,,872,244.5,this is a box and thats a brush,box brush,box brush,box,box,,box,brush
A19,33,874,875,,874.5,247,huh,box brush,,child,,,box,brush
A19,34,875,876,,875.5,248,the truck,box brush,truck,child,,,box,brush
A19,35,879,880,,879.5,252,the truck went away,box brush,truck,child,,,mom,brush
A19,36,882,882,,882,254.5,the truck went away,box brush,truck,child,,,mom,brush
A19,37,887,888,,887.5,260,and the car went away,box brush,car,child,,,mom,brush
A19,38,892,894,,893,265.5,you want to brush benny,brush,,child,,,,brush
A19,39,894,895,,894.5,267,be nice when you brush benny,brush,,child,,,,brush
A19,40,895,896,,895.5,268,dont hit him,brush,,child,,,,brush
A19,41,897,897,,897,269.5,here,brush,,,,,,brush
A19,42,898,900,,899,271.5,here,box brush,,,,,,brush
A19,43,901,901,,901,273.5,lets be real nice and brush benny,box brush,,,,,,brush
A19,44,903,903,,903,275.5,real nice,box brush,,,brush,,,brush
A19,45,905,905,,905,277.5,brush benny,box brush,,,brush,,,brush
