video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A21,1,30,25,25,25,0,you want to do that,car truck,,car,car child,,car,car truck
A21,2,32,30,29,29.5,4.5,what sound does a car make,car truck,car,child,car child,,truck,truck
A21,3,36,32,33,32.5,7.5,zoom,car truck,,child,child,,truck,truck
A21,4,39,37,36,36.5,11.5,thats a truck,car truck,truck,truck,child,,truck,truck
A21,5,41,39,39,39,14,a truck yeah,car truck,truck,truck,child,,truck,truck
A21,6,42,40,41,41.5,16.5,see it has teddy bears on the side huh,car truck,truck,truck,child,truck,truck,truck
A21,7,44,42,44,44,19,zoom,car truck,,truck,child,,,truck
A21,8,47,45,45,45,20,what color is the truck,car truck,truck,child,child,,truck,truck
A21,9,51,48,47,47.5,22.5,green right,car truck,,truck,child,,truck,truck
A21,10,52,51,51,51,26,and that ones red,car truck,car,car,child,,car,car truck
A21,11,55,52,52,52,27,whats this,car truck,car,car,child,car,car,car truck
A21,12,61,56,56,56,31,wheels right,car truck,car,child,child,,truck,car truck
A21,13,62,61,60,61.5,36.5,wheels too yeah,car truck,truck,truck,child,truck,truck,car truck
A21,14,63,62,63,63,38,zoom,car truck,,car,child,,car,car truck
A21,15,70,63,66,64.5,39.5,zoom,car truck,,car,child,,,car truck
A21,16,72,70,70,70,45,ooh does it open,car truck,car,car,child,,car,car truck
A21,17,77,72,72,72,47,ha here mommy hold this one,car truck,truck,truck,child truck,,car,car truck
A21,18,78,74,74,74,49,see is that door opens,car truck,car,car,child truck,car,car,car
A21,19,79,78,79,79,54,nope,car truck,,,child truck,,truck,car truck
A21,20,84,80,83,83.5,58.5,ha,car truck,,car,car truck,,truck,car truck
A21,21,86,84,84,84,59,yes it does,car truck,car,car,car truck,,car,truck
A21,22,88,86,86,86,61,yes it does,car truck,car,car,car,,car,truck
A21,23,89,88,88,88,63,how many doors,car truck,car,car,car,,car,truck
A21,24,92,90,89,89.5,64.5,two doors right,car truck,car,car,car,,car,truck
A21,25,95,92,93,92.5,67.5,zoom truck,car truck,truck,car,car,,car,car truck
A21,26,97,94,95,94.5,69.5,in here,car truck,car,car,car,,car,car truck
A21,27,98,96,96,96,71,here you wanna,car truck,,car,car,,car,car truck
A21,28,100,98,97,97.5,72.5,you wanna put the truck on top of the car,car truck,car truck,car,car,,car,car truck
A21,29,105,99,100,99.5,74.5,okay,car truck,,car truck,car truck,,car truck,
A21,30,108,104,105,104.5,79.5,yeah,car truck,,car truck,,,car truck,
A21,31,112,106,106,106,81,uhoh what happened,car truck,,car truck,,,truck,truck
A21,32,115,110,110,110,85,whatd you do,car truck,,car,,,car,car truck
A21,33,120,114,114,114,89,did you did you close the door,car truck,car,child,,,car,car truck
A21,34,127,115,115,115,90,oh,car truck,,car,,,car,car truck
A21,35,128,125,125,125,100,in there,car truck,car,child,,,car,car
A21,36,129,126,126,126,101,ahhh,car truck,,car,,,car,car
A21,37,132,128,128,128,103,where does chris sit,car truck,,car,,,car,car
A21,38,133,130,130,130,105,does chris,car truck,,car,,,car,car
A21,39,138,132,131,131.5,106.5,does chris sit in the car,car truck,car,car,,,car,car
A21,40,140,134,134,134,109,sit car,car truck,car,car,child,,car,car
A21,41,141,,138,139.5,114.5,okay,car truck,,car,child,,car,car
A21,42,142,141,139,141.5,116.5,yeah chris sits in the back seat huh,car truck,car,truck,child,,car,car truck
A21,43,163,143,143,143,118,yeah,car truck,,car,child,,car,car truck
A21,44,181,163,163,163,138,uhoh fall down,car truck,,truck,child,,truck,truck
A21,45,187,180,180,180,155,can i drive on chriss leg,car truck,,car,car child,,car,truck
A21,46,191,185,187,186,161,hum,car truck,,car,child,,car,car
A21,47,193,189,189,189,164,what are these chris,car truck,car,car,car,car,car,car
A21,48,195,193,192,192.5,167.5,headlights right headlights,car truck,car,car,child,,car,car
A21,49,198,196,196,196,171,sit down,car truck,,car,child,,car,car
A21,50,202,198,198,198,173,okay,car truck,,car,child,,car,car
A21,51,206,201,202,201.5,176.5,uhhuh,car truck,,car,child,,car,car
A21,52,210,206,206,206,181,yeah does the trunk open,car truck,car,car,car,,car,car
A21,53,215,212,210,211,186,no no just  the doors,car truck,car,car,car,,car,
A21,54,218,215,214,214.5,189.5,ha and what is that this is an english car,car truck,car,car,car,,car,
A21,55,224,217,217,217,192,the steering wheels on the wrong side,car truck,car,car,car,,car,car
A21,56,228,223,220,221.5,196.5,yeah,car truck,,car,,,car,car
A21,57,231,225,223,224,199,yeah,car truck,,car,,,car,car
A21,58,232,228,230,231,206,sit down car,car truck,car,car,,,car,car
A21,59,238,231,231,231,206,yeah right in that seat,car truck,car,car,,,car,car
A21,60,241,234,234,234,209,chris sits down in mommy and daddys car huh,car truck,car,child,,,car,car
A21,61,243,238,238,238,213,yeah and you turn the blinkers on,car truck,car,child,,,car,car
A21,62,245,242,241,241.5,216.5,yeah,car truck,,child,,,car,car
A21,63,247,251,252,251.5,226.5,zoom,car truck,,child,,,car,car
A21,64,267,253,253,253,228,okay,car truck,,child,,,car,car
A21,65,270,267,267,267,242,thats the front of the truck,car truck,truck,truck,,,truck,truck
A21,66,275,270,270,270,245,front of the truck yeah,car truck,truck,truck,,,truck,truck
A21,67,277,273,273,273,248,no open uhuh,car truck,,truck,,,truck,truck
A21,68,279,277,277,277,252,whats that,car truck,truck,truck,,truck,truck,truck
A21,69,288,279,279,279,254,a bear,car truck,truck,truck,,,truck,truck
A21,70,291,287,287,287,262,what color are the wheels,car truck,truck,truck,,truck,truck,truck
A21,71,295,290,291,290.5,265.5,red right,car truck,,truck,child,,truck,truck
A21,72,296,293,293,293,268,what colors this,car truck,truck,truck,child,truck,truck,truck
A21,73,299,295,295,295,270,green right,car truck,,truck,child,,truck,truck
A21,74,304,298,298,298,273,that ones red yeah,car truck,car,car,child,,car,car
A21,75,306,302,301,301.5,276.5,what a smart boy,car truck,,car,child,,car,car
A21,76,311,305,304,304.5,279.5,yeah what a smart boy you are,car truck,,car,child,,car,car
A21,77,316,310,310,310,285,to open,car truck,,car,child,,car,car
A21,78,320,312,312,312,287,oh ill show you,car truck,,car,car,,car,car
A21,79,325,314,313,313.5,288.5,right here,car truck,car,car,car,,car,car
A21,80,330,317,317,317,292,and on this side too,car truck,car,car,child,,car,car
A21,81,335,320,320,320,295,uhhuh that will open,car truck,car,car,child,,car,car
A21,82,340,324,324,324,299,see little finger right there,car truck,car,car,car,,car,car
A21,83,345,328,329,328.5,303.5,there,car truck,car,car,,,car,car
A21,84,346,329,330,329.5,304.5,see,car truck,,car,,,car,car
