video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A39,1,1,1,1,1,0,okay,car truck,,truck,child,,,
A39,2,2,,2,2,1,look at this bryn look,car truck,truck,truck,child,,,
A39,3,4,3,4,4,3,heres a little truck,car truck,truck,truck,child,,truck,
A39,4,6,,5,5.5,4.5,yeah,car truck,,child,truck,,truck,
A39,5,8,6,7,7.5,6.5,look at this,car truck,truck,child,truck,,truck,
A39,6,9,7,8,8.5,7.5,vrooom,car truck,,child,truck,,truck,
A39,7,10,10,11,10,9,vrooom,car truck,,child,truck,,truck,
A39,8,11,10,12,11.5,10.5,whats that,car truck,truck,child,truck,,truck,
A39,9,12,11,13,12.5,11.5,oh you caught it,car truck,truck,child,,,truck,truck
A39,10,14,14,14,14,13,its okay if she puts it in her mouth,car truck,truck,,,,truck,truck
A39,11,17,16,17,17,16,good cause thats where its going,car truck,truck,child,,,truck,truck
A39,12,22,22,23,22,21,what do you think of that,car truck,truck,child,,,truck,truck
A39,13,23,23,24,23,22,pretty good huh,car truck,,child,,,truck,truck
A39,14,27,25,27,27,26,yeah,car truck,,child,,,truck,truck
A39,15,28,26,28,28,27,here comes another one,car truck,car,car,car,,truck,truck
A39,16,29,28,29,29,28,here comes another one,car truck,car,car,car,,car,truck
A39,17,30,28,30,30,29,brrrrr,car truck,,car,car,,car,truck
A39,18,36,36,37,36,35,aaah taste that one too,car truck,car,child,,,car,car truck
A39,19,52,,52,52,51,what do you think,car truck,,child,,,car,car truck
A39,20,67,65,66,66.5,65.5,its pretty heavy,car truck,car,child,,,car,car truck
A39,21,68,66,67,67.5,66.5,are you gonna get that to your mouth,car truck,car,child,,,car,car truck
A39,22,69,67,69,69,68,hmmm,car truck,,child,,,car,car truck
A39,23,72,70,72,72,71,well,car truck,,child,truck,,car,car truck
A39,24,73,72,73,73,72,no ill just burp on it huh,car truck,car,child,truck,,car,car truck
A39,25,75,73,75,75,74,here it comes,car truck,truck,truck,truck,,car,car
A39,26,76,74,76,76,75,here it comes,car truck,truck,truck,truck,,car,car
A39,27,78,77,78,78,77,rzzshhhhrrrr,car truck,,truck,truck,,car,car
A39,28,81,80,82,81.5,80.5,rrrzzzshhhrrr,car truck,,truck,truck,,truck,car
A39,29,110,109,110,110,109,look at that truck,car truck,truck,child,,,truck,truck
A39,30,111,110,112,111.5,110.5,look at that truck,car truck,truck,car,,,truck,truck
A39,31,140,138,139,139.5,138.5,what do you think,car truck,,child,child,,truck,truck
A39,32,141,139,141,141,140,do you wanna turn over,truck,,child,child,,truck,truck
A39,33,143,142,143,143,142,turn over get a better handle on it,truck,truck,child,truck,,truck,truck
A39,34,145,,145,145,144,hey,truck,,child,child,,truck,truck
A39,35,152,,146,149,148,oh,truck,,truck,truck,,truck,
A39,36,153,,153,153,152,oh oh,truck,,child,truck,,truck,
A39,37,154,,154,154,153,here it is,truck,truck,child,truck,,truck,
A39,38,155,,155,155,154,here it is,truck,truck,child,truck,,truck,
A39,39,158,,158,158,157,you got it,truck,truck,child,truck,,truck,truck
A39,40,160,,160,160,159,there,truck,,child,truck,,truck,truck
A39,41,161,,161,161,160,oopsie,truck,,child,truck,,truck,
A39,42,172,170,172,172,171,oooh,truck,,child,,,truck,truck
A39,43,174,172,174,174,173,kind of a hard toy,truck,truck,child,,,truck,truck
A39,44,178,178,178,178,177,she gave herself a black eye with a toy the other day,truck,,child,,,truck,truck
A39,45,180,179,180,180,179,oh youre kidding,truck,,child,,,truck,truck
A39,46,181,181,182,181,180,yeah it was it was too hard,truck,,child,,,truck,truck
A39,47,185,184,185,185,184,i have to remember whos whos older and whos younger around here,truck,,,,,truck,truck
A39,48,189,188,190,189.5,188.5,around here,truck,,child,child,,truck,truck
A39,49,192,189,192,192,191,yeah,truck,,child,child,,truck,truck
A39,50,195,194,196,195.5,194.5,we got hold of that one,truck,truck,child,,,truck,truck
A39,51,197,195,197,197,196,we got hold of that one,truck,truck,child,,,truck,truck
A39,52,204,203,205,204.5,203.5,oh,truck,,child,,,,
A39,53,205,205,206,205,204,oh oh,truck,,child,truck,,,
A39,54,209,208,209,209,208,here it is,truck,truck,child,truck,,truck,
A39,55,211,210,210,210,209,oh,truck,,child,truck,,,
A39,56,216,215,217,216.5,215.5,are you bored with that one,truck,truck,child,truck,,,
A39,57,219,217,218,218.5,217.5,all done with that one,car truck,truck,child,truck,,truck,
A39,58,226,224,226,226,225,oh,car truck,,child,,,truck,truck
A39,59,238,237,238,238,237,whos that pretty lady,car truck,,child,,,,truck
A39,60,239,239,239,239,238,whos that,car truck,,child,,,,truck
