"age.grp","cih","cil","n","rt"
"1",0.226854565217391,0.212356973913044,32,1.11956956521739
"2",0.155485462665596,0.144673328301887,59,0.954
"3",0.0638890079365078,0.0577082694639827,67,0.688685714285714
"4",0.0761555951972557,0.0670892080436942,60,0.697481132075472
